,Count Type,Hill Coefficient,Minimum Response,EC50,residuals,Cell Line,Drug,logEC50
27,Lum,36.50508805,-0.049105098,0.001823258,16.44564608,DMS114,etoposide,-2.739151989
28,Lum,2.511235736,-0.057659451,8.84E-05,3.169992498,DMS114,SNS-314,-4.053404858
29,Lum,0.443224814,-4.999992259,17.54717161,17.49224607,DMS454,barasertib,1.244207123
30,Lum,3.453546048,-0.635556007,4.839569731,23.98108277,DMS454,AMG-900,0.684806752
31,Lum,0.431715163,-4.834030272,0.040576935,61.90160045,DMS454,TAK-901,-1.391720762
32,Lum,25.58679536,-0.487316835,0.000827001,19.91297169,DMS454,YM-155,-3.082493827
33,Lum,1.127725235,-5,0.012051599,30.88936698,DMS454,SCH-1473759,-1.918955336
34,Lum,27.2970531,-1.163478547,0.003949348,305.9989428,DMS454,etoposide,-2.403474639
35,Lum,1.252386223,-0.507123492,0.000391247,70.10220124,DMS454,SNS-314,-3.407549416
36,Lum,1.440028081,0.188462007,0.000226134,2.167458907,CORL279,barasertib,-3.645634944
37,Lum,2.016529603,0.218824135,3.69E-05,3.61139328,CORL279,AMG-900,-4.432585629
38,Lum,2.388259535,-0.111334249,0.000636268,1.754230236,CORL279,TAK-901,-3.19635971
39,Lum,33.77234615,-0.070595859,0.000182321,1.011453894,CORL279,YM-155,-3.739163774
40,Lum,1.474854738,-0.192521519,0.000145929,2.486593025,CORL279,SCH-1473759,-3.835857496
41,Lum,0.327184954,-0.499559878,3.31E-05,19.55475664,CORL279,etoposide,-4.479610517
42,Lum,8.98E-13,-1.608383899,14.40576503,5.726482143,CORL279,SNS-314,1.158536327
43,Lum,0.909230135,0.132342238,0.000508965,4.89105704,H1930,barasertib,-3.293311682
44,Lum,35.69058598,0.523656475,0.00010038,5.300372821,H1930,AMG-900,-3.998354959
45,Lum,3.126856102,0.080754829,0.000869904,6.071544825,H1930,TAK-901,-3.06052882
46,Lum,37.33116735,-0.353366044,0.000189721,37.00663068,H1930,YM-155,-3.721884888
47,Lum,0.731448502,-0.550657684,0.001926362,3.665877972,H1930,SCH-1473759,-2.715262051
48,Lum,5.34648326,-0.384603394,0.000110245,1.561802457,H1930,etoposide,-3.957640647
49,Lum,3.989269862,-0.992720588,1.708291558,93.56183149,H526,barasertib,0.232561995
50,Lum,3.151920757,-1.760291778,1.217001436,144.6501745,H526,AMG-900,0.085291091
51,Lum,35.27517113,0.40249548,0.003618796,23.10178422,H526,TAK-901,-2.441435882
52,Lum,0.689089136,0.083822329,0.00068301,9.928408106,H526,YM-155,-3.16557309
53,Lum,34.16820253,0.101482243,0.003674074,24.86564054,H526,SCH-1473759,-2.434852097
54,Lum,1.54E-16,-0.103309623,7.08E-09,101.4109413,H526,SNS-314,-8.15024591
55,Direct,0.33871698,-1.673005088,1.31E-08,3.811653575,H1048,SNS-314,-7.884311288
56,Direct,1.008917532,0.136765622,2.29E-08,9.876551072,H1048,trametinib,-7.639700886
57,Direct,0.601469108,-1.58827603,3.32E-09,2.783279834,H1048,SCH-1473759,-8.478290333
58,Direct,0.730233866,-1.703304273,3.01E-10,22.68570429,H1048,YM-155,-9.520891805
59,Direct,1.692488696,-1.294140025,2.11E-08,1.316721753,H1048,TAK-901,-7.676421594
60,Direct,0.322477303,-2.742182553,6.29E-07,6.423847856,H1048,barasertib,-6.201040885
61,Direct,0.549728988,-0.351317412,1.12E-09,1.208120977,H841,SNS-314,-8.950984689
62,Direct,2.111137168,0.587751074,5.46E-07,0.123618787,H841,trametinib,-6.262778892
63,Direct,1.3122094,-0.071599596,5.33E-09,3.165548133,H841,SCH-1473759,-8.273474735
64,Direct,1.2160093,-0.817503173,2.61E-10,4.012094825,H841,YM-155,-9.582668768
65,Direct,2.328367719,-0.63349072,6.33E-08,0.633928476,H841,TAK-901,-7.198311176
66,Direct,0.442072982,-5,1.55E-05,0.543782017,H841,barasertib,-4.80915597
