well	cell.line	drug1	drug1.conc	drug1.units
K20	DMS53	Barasertib (AZD1152-H	2.33e-9	M
K21	DMS53	Barasertib (AZD1152-H	6.23e-10	M
K22	DMS53	Barasertib (AZD1152-H	1.56e-10	M
K23	DMS53	Barasertib (AZD1152-H	7.78e-11	M
K24				M
L01				M
L02	DMS53	SCH-1473759	0	M
L03	DMS53	SCH-1473759	0.00000996	M
L04	DMS53	SCH-1473759	0.00000249	M
L05	DMS53	SCH-1473759	6.23e-7	M
L06	DMS53	SCH-1473759	1.56e-7	M
L07	DMS53	SCH-1473759	3.89e-8	M
L08	DMS53	SCH-1473759	9.34e-9	M
L09	DMS53	SCH-1473759	2.33e-9	M
L10	DMS53	SCH-1473759	6.23e-10	M
L11	DMS53	SCH-1473759	1.56e-10	M
L12	DMS53	SCH-1473759	7.78e-11	M
L13	DMS53	SNS-314	0	M
L14	DMS53	SNS-314	0.00000996	M
L15	DMS53	SNS-314	0.00000249	M
L16	DMS53	SNS-314	6.23e-7	M
L17	DMS53	SNS-314	1.56e-7	M
L18	DMS53	SNS-314	3.89e-8	M
L19	DMS53	SNS-314	9.34e-9	M
L20	DMS53	SNS-314	2.33e-9	M
L21	DMS53	SNS-314	6.23e-10	M
L22	DMS53	SNS-314	1.56e-10	M
L23	DMS53	SNS-314	7.78e-11	M
L24				M
M01				M
M02	DMS53	YM-155	0	M
M03	DMS53	YM-155	0.00000996	M
M04	DMS53	YM-155	0.00000249	M
M05	DMS53	YM-155	6.23e-7	M
M06	DMS53	YM-155	1.56e-7	M
M07	DMS53	YM-155	3.89e-8	M
M08	DMS53	YM-155	9.34e-9	M
M09	DMS53	YM-155	2.33e-9	M
M10	DMS53	YM-155	6.23e-10	M
M11	DMS53	YM-155	1.56e-10	M
M12	DMS53	YM-155	7.78e-11	M
M13	DMS53	SNS-314	0	M
M14	DMS53	SNS-314	0.00000996	M
M15	DMS53	SNS-314	0.00000249	M
M16	DMS53	SNS-314	6.23e-7	M
M17	DMS53	SNS-314	1.56e-7	M
M18	DMS53	SNS-314	3.89e-8	M
M19	DMS53	SNS-314	9.34e-9	M
M20	DMS53	SNS-314	2.33e-9	M
M21	DMS53	SNS-314	6.23e-10	M
M22	DMS53	SNS-314	1.56e-10	M
M23	DMS53	SNS-314	7.78e-11	M
M24				M
N01				M
N02	DMS53	vemurafenib	0	M
N03	DMS53	vemurafenib	0.00000996	M
N04	DMS53	vemurafenib	0.00000249	M
N05	DMS53	vemurafenib	6.23e-7	M
N06	DMS53	vemurafenib	1.56e-7	M
N07	DMS53	vemurafenib	3.89e-8	M
N08	DMS53	vemurafenib	9.34e-9	M
N09	DMS53	vemurafenib	2.33e-9	M
N10	DMS53	vemurafenib	6.23e-10	M
N11	DMS53	vemurafenib	1.56e-10	M
N12	DMS53	vemurafenib	7.78e-11	M
N13	DMS53	hygromycin_b	0	M
N14	DMS53	hygromycin_b	0.00000996	M
N15	DMS53	hygromycin_b	0.00000249	M
N16	DMS53	hygromycin_b	6.23e-7	M
N17	DMS53	hygromycin_b	1.56e-7	M
N18	DMS53	hygromycin_b	3.89e-8	M
N19	DMS53	hygromycin_b	9.34e-9	M
N20	DMS53	hygromycin_b	2.33e-9	M
N21	DMS53	hygromycin_b	6.23e-10	M
N22	DMS53	hygromycin_b	1.56e-10	M
N23	DMS53	hygromycin_b	7.78e-11	M
N24				M
O01				M
O02				M
O03				M
O04				M
O05				M
O06				M
O07				M
O08				M
O09				M
O10				M
O11				M
O12				M
O13				M
O14				M
O15				M
O16				M
O17				M
O18				M
O19				M
O20				M
O21				M
O22				M
O23				M
O24				M
P01				M
P02				M
P03				M
P04				M
P05				M
P06				M
P07				M
P08				M
P09				M
P10				M
P11				M
P12				M
P13				M
P14				M
P15				M
P16				M
P17				M
P18				M
P19				M
P20				M
P21				M
P22				M
P23				M
P24				M
