well	cell.line	drug1	drug1.conc	drug1.units
L05	H1048	SCH-1473759	6.23e-7	M
L06	H1048	SCH-1473759	1.56e-7	M
L07	H1048	SCH-1473759	3.89e-8	M
L08	H1048	SCH-1473759	9.34e-9	M
L09	H1048	SCH-1473759	2.33e-9	M
L10	H1048	SCH-1473759	6.23e-10	M
L11	H1048	SCH-1473759	1.56e-10	M
L12	H1048	SCH-1473759	7.78e-11	M
L13	H1048	SNS-314	0	M
L14	H1048	SNS-314	0.00000996	M
L15	H1048	SNS-314	0.00000249	M
L16	H1048	SNS-314	6.23e-7	M
L17	H1048	SNS-314	1.56e-7	M
L18	H1048	SNS-314	3.89e-8	M
L19	H1048	SNS-314	9.34e-9	M
L20	H1048	SNS-314	2.33e-9	M
L21	H1048	SNS-314	6.23e-10	M
L22	H1048	SNS-314	1.56e-10	M
L23	H1048	SNS-314	7.78e-11	M
L24				M
M01				M
M02	H1048	YM-155	0	M
M03	H1048	YM-155	0.00000996	M
M04	H1048	YM-155	0.00000249	M
M05	H1048	YM-155	6.23e-7	M
M06	H1048	YM-155	1.56e-7	M
M07	H1048	YM-155	3.89e-8	M
M08	H1048	YM-155	9.34e-9	M
M09	H1048	YM-155	2.33e-9	M
M10	H1048	YM-155	6.23e-10	M
M11	H1048	YM-155	1.56e-10	M
M12	H1048	YM-155	7.78e-11	M
M13	H1048	SNS-314	0	M
M14	H1048	SNS-314	0.00000996	M
M15	H1048	SNS-314	0.00000249	M
M16	H1048	SNS-314	6.23e-7	M
M17	H1048	SNS-314	1.56e-7	M
M18	H1048	SNS-314	3.89e-8	M
M19	H1048	SNS-314	9.34e-9	M
M20	H1048	SNS-314	2.33e-9	M
M21	H1048	SNS-314	6.23e-10	M
M22	H1048	SNS-314	1.56e-10	M
M23	H1048	SNS-314	7.78e-11	M
M24				M
N01				M
N02	H1048	vemurafenib	0	M
N03	H1048	vemurafenib	0.00000996	M
N04	H1048	vemurafenib	0.00000249	M
N05	H1048	vemurafenib	6.23e-7	M
N06	H1048	vemurafenib	1.56e-7	M
N07	H1048	vemurafenib	3.89e-8	M
N08	H1048	vemurafenib	9.34e-9	M
N09	H1048	vemurafenib	2.33e-9	M
N10	H1048	vemurafenib	6.23e-10	M
N11	H1048	vemurafenib	1.56e-10	M
N12	H1048	vemurafenib	7.78e-11	M
N13	H1048	hygromycin_b	0	M
N14	H1048	hygromycin_b	0.00000996	M
N15	H1048	hygromycin_b	0.00000249	M
N16	H1048	hygromycin_b	6.23e-7	M
N17	H1048	hygromycin_b	1.56e-7	M
N18	H1048	hygromycin_b	3.89e-8	M
N19	H1048	hygromycin_b	9.34e-9	M
N20	H1048	hygromycin_b	2.33e-9	M
N21	H1048	hygromycin_b	6.23e-10	M
N22	H1048	hygromycin_b	1.56e-10	M
N23	H1048	hygromycin_b	7.78e-11	M
N24				M
O01				M
O02				M
O03				M
O04				M
O05				M
O06				M
O07				M
O08				M
O09				M
O10				M
O11				M
O12				M
O13				M
O14				M
O15				M
O16				M
O17				M
O18				M
O19				M
O20				M
O21				M
O22				M
O23				M
O24				M
P01				M
P02				M
P03				M
P04				M
P05				M
P06				M
P07				M
P08				M
P09				M
P10				M
P11				M
P12				M
P13				M
P14				M
P15				M
P16				M
P17				M
P18				M
P19				M
P20				M
P21				M
P22				M
P23				M
P24				M
