well	cell.line	drug1	drug1.conc	drug1.units
L05	WM88	SCH-1473759	6.23e-7	M
L06	WM88	SCH-1473759	1.56e-7	M
L07	WM88	SCH-1473759	3.89e-8	M
L08	WM88	SCH-1473759	9.34e-9	M
L09	WM88	SCH-1473759	2.33e-9	M
L10	WM88	SCH-1473759	6.23e-10	M
L11	WM88	SCH-1473759	1.56e-10	M
L12	WM88	SCH-1473759	7.78e-11	M
L13	WM88	SNS-314	0	M
L14	WM88	SNS-314	0.00000996	M
L15	WM88	SNS-314	0.00000249	M
L16	WM88	SNS-314	6.23e-7	M
L17	WM88	SNS-314	1.56e-7	M
L18	WM88	SNS-314	3.89e-8	M
L19	WM88	SNS-314	9.34e-9	M
L20	WM88	SNS-314	2.33e-9	M
L21	WM88	SNS-314	6.23e-10	M
L22	WM88	SNS-314	1.56e-10	M
L23	WM88	SNS-314	7.78e-11	M
L24				M
M01				M
M02	WM88	YM-155	0	M
M03	WM88	YM-155	0.00000996	M
M04	WM88	YM-155	0.00000249	M
M05	WM88	YM-155	6.23e-7	M
M06	WM88	YM-155	1.56e-7	M
M07	WM88	YM-155	3.89e-8	M
M08	WM88	YM-155	9.34e-9	M
M09	WM88	YM-155	2.33e-9	M
M10	WM88	YM-155	6.23e-10	M
M11	WM88	YM-155	1.56e-10	M
M12	WM88	YM-155	7.78e-11	M
M13	WM88	SNS-314	0	M
M14	WM88	SNS-314	0.00000996	M
M15	WM88	SNS-314	0.00000249	M
M16	WM88	SNS-314	6.23e-7	M
M17	WM88	SNS-314	1.56e-7	M
M18	WM88	SNS-314	3.89e-8	M
M19	WM88	SNS-314	9.34e-9	M
M20	WM88	SNS-314	2.33e-9	M
M21	WM88	SNS-314	6.23e-10	M
M22	WM88	SNS-314	1.56e-10	M
M23	WM88	SNS-314	7.78e-11	M
M24				M
N01				M
N02	WM88	vemurafenib	0	M
N03	WM88	vemurafenib	0.00000996	M
N04	WM88	vemurafenib	0.00000249	M
N05	WM88	vemurafenib	6.23e-7	M
N06	WM88	vemurafenib	1.56e-7	M
N07	WM88	vemurafenib	3.89e-8	M
N08	WM88	vemurafenib	9.34e-9	M
N09	WM88	vemurafenib	2.33e-9	M
N10	WM88	vemurafenib	6.23e-10	M
N11	WM88	vemurafenib	1.56e-10	M
N12	WM88	vemurafenib	7.78e-11	M
N13	WM88	hygromycin_b	0	M
N14	WM88	hygromycin_b	0.00000996	M
N15	WM88	hygromycin_b	0.00000249	M
N16	WM88	hygromycin_b	6.23e-7	M
N17	WM88	hygromycin_b	1.56e-7	M
N18	WM88	hygromycin_b	3.89e-8	M
N19	WM88	hygromycin_b	9.34e-9	M
N20	WM88	hygromycin_b	2.33e-9	M
N21	WM88	hygromycin_b	6.23e-10	M
N22	WM88	hygromycin_b	1.56e-10	M
N23	WM88	hygromycin_b	7.78e-11	M
N24				M
O01				M
O02				M
O03				M
O04				M
O05				M
O06				M
O07				M
O08				M
O09				M
O10				M
O11				M
O12				M
O13				M
O14				M
O15				M
O16				M
O17				M
O18				M
O19				M
O20				M
O21				M
O22				M
O23				M
O24				M
P01				M
P02				M
P03				M
P04				M
P05				M
P06				M
P07				M
P08				M
P09				M
P10				M
P11				M
P12				M
P13				M
P14				M
P15				M
P16				M
P17				M
P18				M
P19				M
P20				M
P21				M
P22				M
P23				M
P24				M
